Metal;Analyte;Metal_Thickness_nm;Theta_res_deg;FWHM_deg;Sensitivity_Empirical_deg_per_RIU;Chi_Empirical;Q_Empirical;Sensitivity_Theoretical_deg_per_RIU;Chi_Theoretical;Q_Theoretical
Ag;analyte_01;45;65.34072873677296;0.5700000000000074;96.85371097173052;;;;;
Ag;analyte_01;46;65.32772025786785;0.5200000000000102;96.8263155699951;;;;;
Ag;analyte_01;47;65.31613612924214;0.46999999999999886;96.80291518846121;;;;;
Ag;analyte_01;48;65.3058200199416;0.4299999999999926;96.78470235724068;;;;;
Ag;analyte_01;49;65.29662343374049;0.3999999999999915;96.76992687313819;;;;;
Ag;analyte_01;50;65.28842495510031;0.37000000000000455;96.76224045484199;;;;;
Ag;analyte_01;51;65.28110431491031;0.3400000000000034;96.74916518985005;;;;;
Ag;analyte_01;52;65.27457096035347;0.3200000000000074;96.73511125006196;;;;;
Ag;analyte_01;53;65.26873693951806;0.29999999999999716;96.74011232096643;;;;;
Ag;analyte_01;54;65.26350840893734;0.28000000000000114;96.71963155238959;;;;;
Ag;analyte_01;55;65.25884526118742;0.269999999999996;96.73246873648593;;;;;
Ag;analyte_02;45;65.23418965470407;0.5600000000000023;96.85371097173052;172.95305530666096;116.48962438339964;96.51955073156904;172.35634059208687;116.48962438339964
Ag;analyte_02;46;65.22121131074087;0.5099999999999909;96.8263155699951;189.85552072548398;127.88472806027849;96.51955073156904;189.25402104229562;127.88472806027849
Ag;analyte_02;47;65.20965292253484;0.46999999999999886;96.80291518846121;205.96364933715202;138.74394238837235;96.51955073156904;205.36074623738142;138.74394238837235
Ag;analyte_02;48;65.19935684734865;0.4300000000000068;96.78470235724068;225.0807031563701;151.62641127290144;96.51955073156904;224.46407146876166;151.62641127290144
Ag;analyte_02;49;65.19017651418005;0.4000000000000057;96.76992687313819;241.92481718284205;162.97544128544783;96.51955073156904;241.29887682891916;162.97544128544783
Ag;analyte_02;50;65.1819864906;0.37000000000000455;96.76224045484199;261.519568796867;176.1675310556735;96.51955073156904;260.86365062585907;176.1675310556735
Ag;analyte_02;51;65.17468023320149;0.3400000000000034;96.74916518985005;284.55636820543845;191.69023598000246;96.51955073156904;283.8810315634355;191.69023598000246
Ag;analyte_02;52;65.16816233797842;0.3100000000000023;96.73511125006196;312.0487459679395;210.21987850960625;96.51955073156904;311.35338945667206;210.21987850960625
Ag;analyte_02;53;65.16232281596501;0.29000000000000625;96.74011232096643;333.5865942102219;224.69766488263312;96.51955073156904;332.8260370054033;224.69766488263312
Ag;analyte_02;54;65.15711681422972;0.28000000000000114;96.71963155238959;345.42725554424715;232.70398862224806;96.51955073156904;344.71268118417373;232.70398862224806
Ag;analyte_02;55;65.1524395455773;0.2600000000000051;96.73246873648593;372.0479566787847;250.58630594452313;96.51955073156904;371.2290412752582;250.58630594452313
Au;analyte_01;45;66.298423535334;1.6299999999999955;101.77934477207263;;;;;
Au;analyte_01;46;66.28201491925893;1.5300000000000011;101.805672712563;;;;;
Au;analyte_01;47;66.26729786840352;1.4399999999999977;101.82975710298359;;;;;
Au;analyte_01;48;66.25409468692247;1.3599999999999994;101.85546277316757;;;;;
Au;analyte_01;49;66.24224202831232;1.2999999999999972;101.8798915097672;;;;;
Au;analyte_01;50;66.23159376157787;1.230000000000004;101.90196454421876;;;;;
Au;analyte_01;51;66.22202689323946;1.1800000000000068;101.92533939028073;;;;;
Au;analyte_01;52;66.21342697976678;1.1300000000000097;101.949653171543;;;;;
Au;analyte_01;53;66.20569198952958;1.0799999999999983;101.97198179483111;;;;;
Au;analyte_01;54;66.19873207357179;1.0400000000000063;101.9927917611001;;;;;
Au;analyte_01;55;66.19246702739;1.0;102.01325218731641;;;;;
Au;analyte_02;45;66.18646625608473;1.6099999999999994;101.77934477207263;63.21698433047992;41.10960637023898;101.97347181950524;63.33756013633868;41.10960637023898
